,city_name,style_name,total_restaurants,total_rated,total_reviewed,average_rating,total_reviews,average_reviews
0,ALL,Yunnan,5,5,4,4.3,596,149
1,ALL,Xinjiang,3,3,3,4.0,99,33
2,ALL,Wine Bar,2259,2173,2107,4.3,282832,134
3,ALL,Welsh,5,5,5,4.4,637,127
4,ALL,Vietnamese,1574,1487,1430,4.13,130708,91
5,ALL,Venezuelan,113,107,101,4.25,9200,91
6,ALL,Vegetarian Friendly,32361,32306,32249,4.13,9296730,288
7,ALL,Vegan Options,13009,12979,12945,4.22,4989987,385
8,ALL,Uzbek,7,7,7,4.43,479,68
9,ALL,Ukrainian,45,38,33,4.32,2905,88
10,ALL,Turkish,1416,1295,1207,4.11,91334,75
11,ALL,Tunisian,78,71,65,4.05,7897,121
12,ALL,Tibetan,73,69,68,4.27,7048,103
13,ALL,Thai,2300,2164,2088,4.01,244585,117
14,ALL,Taiwanese,74,72,68,4.22,4920,72
15,ALL,Swiss,547,531,512,4.08,63784,124
16,ALL,Swedish,541,523,507,3.97,81274,160
17,ALL,Sushi,3487,3343,3264,3.91,459177,140
18,ALL,Street Food,877,777,728,4.33,76800,105
19,ALL,Steakhouse,1692,1644,1608,4.0,457394,284
20,ALL,Sri Lankan,58,53,47,4.16,5015,106
21,ALL,Spanish,8220,7837,7579,3.93,1369955,180
22,ALL,Southwestern,57,54,53,3.98,11749,221
23,ALL,South American,1230,1118,1051,4.1,139441,132
24,ALL,Soups,1653,1581,1533,4.14,599104,390
25,ALL,Slovenian,180,163,157,4.24,29412,187
26,ALL,Singaporean,44,43,42,4.06,9240,220
27,ALL,Seafood,4405,4299,4235,4.05,1309273,309
28,ALL,Scottish,512,504,502,4.21,203325,405
29,ALL,Scandinavian,1038,1024,1011,4.04,204313,202
30,ALL,Salvadoran,4,4,4,3.88,324,81
31,ALL,Russian,158,145,135,4.14,12582,93
32,ALL,Romanian,33,28,25,4.25,673,26
33,ALL,Puerto Rican,2,2,0,4.0,0,0
34,ALL,Pub,7404,7075,6879,4.0,863911,125
35,ALL,Portuguese,3296,3178,3074,4.09,541892,176
36,ALL,Polynesian,8,6,5,3.67,1345,269
37,ALL,Polish,1122,1032,964,4.17,152397,158
38,ALL,Pizza,8317,8071,7863,3.91,1501941,191
39,ALL,Peruvian,342,324,306,4.08,46564,152
40,ALL,Persian,218,200,188,4.05,20171,107
41,ALL,Pakistani,302,289,278,3.87,28847,103
42,ALL,Norwegian,222,212,207,4.0,36235,175
