,style_name,is_rest_type,is_food_type,is_region,is_country
0,Afghani,0,0,0,1
1,African,0,0,1,0
2,Albanian,0,0,0,1
3,American,0,0,0,1
4,Arabic,0,0,1,0
5,Argentinean,0,0,0,1
6,Armenian,0,0,0,1
7,Asian,0,0,1,0
8,Australian,0,0,0,1
9,Austrian,0,0,0,1
10,Azerbaijani,0,0,0,1
11,Balti,0,1,0,0
12,Bangladeshi,0,0,0,1
13,Bar,1,0,0,0
14,Barbecue,0,1,0,0
15,Belgian,0,0,0,1
16,Brazilian,0,0,0,1
17,Brew Pub,1,0,0,0
18,British,0,0,0,1
19,Burmese,0,0,0,1
20,Cafe,1,0,0,0
21,Cajun & Creole,0,0,1,0
22,Cambodian,0,0,0,1
23,Canadian,0,0,0,1
24,Caribbean,0,0,1,0
25,Caucasian,0,0,1,0
26,Central American,0,0,1,0
27,Central Asian,0,0,1,0
28,Central European,0,0,1,0
29,Chilean,0,0,0,1
30,Chinese,0,0,0,1
31,Colombian,0,0,0,1
32,Contemporary,0,1,0,0
33,Croatian,0,0,0,1
34,Cuban,0,0,0,1
35,Czech,0,0,0,1
36,Danish,0,0,0,1
37,Delicatessen,0,1,0,0
38,Diner,1,0,0,0
39,Dutch,0,0,0,1
40,Eastern European,0,0,1,0
41,Ecuadorean,0,0,0,1
42,Egyptian,0,0,0,1
43,Ethiopian,0,0,0,1
44,European,0,0,1,0
45,Fast Food,0,1,0,0
46,Filipino,0,0,0,1
47,French,0,0,0,1
48,Fujian,0,0,0,1
49,Fusion,0,1,0,0
50,Gastropub,1,0,0,0
51,Georgian,0,0,0,1
52,German,0,0,0,1
53,Gluten Free Options,0,1,0,0
54,Greek,0,0,0,1
55,Grill,0,1,0,0
56,Guatemalan,0,0,0,1
57,Halal,0,1,0,0
58,Hawaiian,0,0,0,1
59,Healthy,0,1,0,0
60,Hungarian,0,0,0,1
61,Indian,0,0,0,1
62,Indonesian,0,0,0,1
63,International,0,0,1,0
64,Irish,0,0,0,1
65,Israeli,0,0,0,1
66,Italian,0,0,0,1
67,Jamaican,0,0,0,1
68,Japanese,0,0,0,1
69,Korean,0,0,0,1
70,Kosher,0,1,0,0
71,Latin,0,0,1,0
72,Latvian,0,0,0,1
73,Lebanese,0,0,0,1
74,Malaysian,0,0,0,1
75,Mediterranean,0,0,1,0
76,Mexican,0,0,0,1
77,Middle Eastern,0,0,1,0
78,Minority Chinese,0,0,1,0
79,Mongolian,0,0,0,1
80,Moroccan,0,0,0,1
81,Native American,0,0,1,0
82,Nepali,0,0,0,1
83,New Zealand,0,0,0,1
84,Norwegian,0,0,0,1
85,Pakistani,0,0,0,1
86,Persian,0,0,0,1
87,Peruvian,0,0,0,1
88,Pizza,0,1,0,0
89,Polish,0,0,0,1
90,Polynesian,0,0,1,0
91,Portuguese,0,0,0,1
92,Pub,1,0,0,0
93,Puerto Rican,0,0,0,1
94,Romanian,0,0,0,1
95,Russian,0,0,0,1
96,Salvadoran,0,0,0,1
97,Scandinavian,0,0,0,1
98,Scottish,0,0,0,1
99,Seafood,0,1,0,0
100,Singaporean,0,0,0,1
101,Slovenian,0,0,0,1
102,Soups,0,1,0,0
103,South American,0,0,1,0
104,Southwestern,0,0,1,0
105,Spanish,0,0,0,1
106,Sri Lankan,0,0,0,1
107,Steakhouse,1,0,0,0
108,Street Food,0,1,0,0
109,Sushi,0,1,0,0
110,Swedish,0,0,0,1
111,Swiss,0,0,0,1
112,Taiwanese,0,0,0,1
113,Thai,0,0,0,1
114,Tibetan,0,0,0,1
115,Tunisian,0,0,0,1
116,Turkish,0,0,0,1
117,Ukrainian,0,0,0,1
118,Uzbek,0,0,0,1
119,Vegan Options,0,1,0,0
120,Vegetarian Friendly,0,1,0,0
121,Venezuelan,0,0,0,1
122,Vietnamese,0,0,0,1
123,Welsh,0,0,0,1
124,Wine Bar,1,0,0,0
125,Xinjiang,0,0,1,0
126,Yunnan,0,0,1,0
